SPECIES_NR,FAMILIE,GENUS,SOORT,SYST_NIV,STLYST90,FLORA_90,STATUS,UHOKN50,UHOKN80,HERKMST1,HERKMST2,HERKMST3,UFK_40,UFK_90,UHOKV50,UHOKV80,LV_DUUR,LV_VORM1,LV_VORM2,LV_VORM3,GR_VORM1,GR_VORM2,GR_VORM3,ANAT_BLD,GRN_BLD,VORM_BLD,HGT_MIN,HGT_MAX,HGT_EXTR,GESL_BLM,BLMKLEUR,VR_TYPE,VR_KLEUR,ZAADMORF,WRTLDIEP,KIEMTIJD,BGNBLOEI,ENDBLOEI,GRONDWTR,LICHTIND,TEMPTIND,CONTIIND,VOCHTIND,ZUURGIND,STIKSIND,ZOUT_IND,ZWAREIND,MAAI_IND,STRO_MIN,STRO_MAX,STRO_EXT,OECO_GRP,ECOL_GRP,TRANSGR,WESTHOFF,ELLENBRG,ECOTP_01,ECOTP_02,ECOTP_03,ECOTP_04,ECOTP_05,ECOTP_06,ECOTP_07,ECOTP_08,ECOTP_09,ECOTP_10,SG_VOCHT,SG_TROFIE,SG_ZUURG,SG_ZOUT,ECOTPAMP,GEBRUIK1,GEBRUIK2,GEBRUIK3,GEBRUIK4,WETT_BES,REDLIST1,REDLIST2,BESTUIV1,BESTUIV2,BESTUIV3,ZBESTUIV,PLG_LIGG,PLG_NORD,PLG_WEST,PLG_MIDD,PLG_OOST,PLG_Z_O,PLG_ZUID,PLG_FRYK,PLG_AMER,PLG_EURO,PLG_AZIE,PLG_BRON,PLG_NOOT,PLG_MONT,R_SALINIT,R_ALKALIN,R_DOM_ANIO,R_CARBOGEH,R_TROFIEGR,IVERSEN,SKLEROTYP,SOCIO_HDB,SOCIO_ISZ,HOOFD_ISZ,OVERSPOEL,MAAI_IBN,TYPE,SOCSRTGRP1,SOCSRTGRP2,SOCSRTGRP3,SOC_GRP_ND,SOC_GRP_DG,RL2000LANG,RL2000KORT,RL2000_ZK,RL2000_TK,FF_WET,WW_C_N,WW_CA,WW_CL,WW_GHG,WW_GLG,WW_GVG,WW_K,WW_MG,WW_NH4,WW_NO3,WW_NTOT,WW_PH_H2O,WW_PO4,WW_PTOT,WW_VOCHT
6305,132,4,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,C,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6306,98,2,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,,,41,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6307,107,2,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,,,32,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6308,112,6,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,C,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6309,126,4,0,1,0,1,,,,6,,,,,,,,,,,50,,,,,,,,,C,,31,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6310,108,5,0,1,0,1,,,,6,,,,,,,,H,,,30,70,,,,,,,,C,,51,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6311,51,21,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,C,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,12.1043,182.644,153.261,79.8886,144.582,49.0218,26.8962,39.6871,4.82023,1.04903,381.268,6.67067,1.13,51.1832,6.38015
6312,78,3,0,1,0,1,,,,6,,,,,,,,,,,30,,,,,,,,,C,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6313,51,5,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,C,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6314,114,3,0,1,0,1,,,,6,,,,,,,,,,,10,,,,,,,,,,,32,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6315,125,2,0,1,0,1,,,,6,,,,,,,,,,,50,,,,,,,,,C,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,18.7681,69.2032,20.4033,73.3979,148.593,51.4148,25.6410,18.4554,5.96997,0.85023,765.841,4.70283,0.61,89.8923,5.88553
6316,37,16,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6317,102,2,0,1,0,1,,,,6,,,,,,,,,,,70,,,,,,,,,C,,51,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6319,1,1,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,E,,11,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6321,101,18,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,D,,41,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6322,87,3,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,C,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,17.7679,2483.77,284.422,-29.593,-1.3360,-10.728,128.964,537.896,12.0338,9.05176,8617.76,5.07789,0.23,1343.08,51.7006
6323,77,1,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6324,41,3,0,1,0,1,,,,6,,,,,,,,,,,70,,,,,,,,,C,,51,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6325,121,13,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,C,,51,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6326,44,9,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6327,50,14,0,1,0,1,,,,6,,,,,,,,,,,80,,,,,,,,,,,53,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,18.6809,69.4531,16.2702,93.7813,171.268,96.1136,30.4340,22.9131,7.04015,9.47175,1339.58,4.99767,0.54,379.059,3.25338
6328,69,1,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,C,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6329,101,4,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,,,41,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6330,113,24,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,D,,32,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,10.6745,1245.27,452.978,33.6130,88.4515,61.7385,169.904,102.112,2.85395,6.70465,2017.94,6.96879,2.51,423.830,18.6892
6331,51,19,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,C,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6332,104,14,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,C,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6334,126,16,0,1,0,1,,,,6,,,,,,,,,,,50,,,,,,,,,C,,31,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6335,51,17,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,C,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,10.8134,1307.50,746.390,19.4372,67.2447,56.8892,171.590,124.773,3.16241,10.2676,1351.05,7.38359,1.65,329.361,22.1349
6336,101,19,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,,,41,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,14.6177,4108.84,557.499,-18.487,13.3637,0.73301,178.771,281.616,7.21064,4.70711,7702.44,6.06388,0.37,978.394,49.9693
6337,91,1,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,C,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6338,56,1,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,B,,42,,,,,,,,,,,,,,,,2,9,9,9,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,H,,,,,,,,,,,,,,,,,,,,,,,,,
6339,50,19,0,1,0,1,,,,6,,,,,,,,,,,80,70,,,,,,,,,,53,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6340,126,13,0,1,0,1,,,,6,,,,,,,,,,,50,,,,,,,,,,,31,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6341,126,47,0,1,0,1,,,,6,,,,,,,,,,,50,,,,,,,,,,,31,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6342,104,3,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,C,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6343,37,3,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6344,37,2,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6345,37,8,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6346,126,50,0,1,0,1,,,,6,,,,,,,,,,,50,,,,,,,,,,,31,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6347,84,3,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,C,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6348,84,4,0,1,0,1,,,,6,,,,,,,,,,,40,,,,,,,,,C,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6349,36,2,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,C,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6350,121,11,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,C,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6351,113,55,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,,,32,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6352,98,11,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,,,41,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,13.2295,1612.23,468.946,17.8661,40.0776,18.8365,51.1859,99.1602,3.58796,6.05155,1427.48,6.33015,0.76,79.3756,23.4019
6354,40,13,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,,,32,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6355,20,1,0,1,0,1,,,,6,,,,,,,,,,,70,,,,,,,,,,,52,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6356,79,1,0,1,0,1,,,,6,,,,,,,,,,,10,,,,,,,,,D,,41,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,4.22,,
6357,83,7,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,,,41,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6358,120,1,0,1,0,1,,,,6,,,,,,,,,,,10,,,,,,,,,D,,32,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6359,122,3,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,C,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,21.1663,115.161,16.6393,93.0607,159.361,114.963,41.8735,32.8107,10.0788,35.6051,2092.62,4.57095,0.20,518.661,16.8192
6360,126,51,0,1,0,1,,,,6,,,,,,,,,,,50,,,,,,,,,,,31,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6361,121,1,0,1,0,1,,,,6,,,,,,,,,,,50,,,,,,,,,C,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6363,132,3,0,1,0,1,,,,6,,,,,,,,,,,40,,,,,,,,,C,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6364,101,11,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,,,41,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6365,40,3,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6366,38,2,0,1,0,1,,,,6,,,,,,,,,,,10,,,,,,,,,C,,51,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6367,38,1,0,1,0,1,,,,6,,,,,,,,,,,10,,,,,,,,,C,,51,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6368,91,2,0,1,0,1,,,,6,,,,,,,,,,,10,,,,,,,,,C,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6369,104,16,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,C,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6370,83,18,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,,,41,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6371,78,2,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,C,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,11.2633,171.994,14.1988,81.4601,137.725,72.7563,19.5234,13.5986,2.26774,2.92316,290.558,7.34039,1.90,45.4718,1.73801
6372,98,13,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,,,41,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6373,51,27,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,C,,22,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6374,51,16,0,1,0,1,,,,6,,,,,,,,,,,70,,,,,,,,,C,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6375,113,41,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,,,32,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6376,4,1,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,E,,11,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6377,132,17,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,C,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6379,101,16,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,,,41,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6380,121,8,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,C,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6381,51,24,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,C,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6382,105,1,0,1,0,1,,,,6,,,,,,,,,,,40,,,,,,,,,C,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6383,84,2,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,C,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6384,5,1,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,E,,11,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6385,52,1,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,C,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6386,85,7,0,1,0,1,,,,6,,,,,,,,,,,70,,,,,,,,,C,,51,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6387,43,1,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,C,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6388,126,45,0,1,0,1,,,,6,,,,,,,,,,,50,,,,,,,,,,,31,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6389,28,2,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,,,32,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6390,121,16,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,C,,51,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
6391,48,3,0,1,0,1,,,,6,,,,,,,,,,,60,,,,,,,,,,,43,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
